case_study,rag_status,evaluator1_evaluation,evaluator1_messages,evaluator1_success,evaluator2_n,evaluator2_mean_eval,evaluator2_mean_eval_rounded,evaluator2_median_eval,evaluator2_std_eval,evaluator2_cv_eval,evaluator2_min_eval,evaluator2_max_eval,evaluator2_range_eval,evaluator2_iqr_eval,evaluator2_mean_msg,evaluator2_std_msg,evaluator2_cv_msg,evaluator2_success_rate,evaluator2_majority_success,bias_eval1_minus_eval2mean,abs_bias,within_eval2_range,within_1sd
Corsica crash,With_RAG,9.0000,3.0000,True,5,8.4000,8.0000,8.0000,1.1402,0.1357,7.0000,10.0000,3.0000,1.0000,4.2000,1.4832,0.3532,1.0000,True,1.0000,1.0000,True,True
Corsica crash,Without_RAG,8.0000,9.0000,True,5,8.8000,9.0000,9.0000,1.0954,0.1245,7.0000,10.0000,3.0000,0.0000,2.8000,1.4832,0.5297,1.0000,True,-1.0000,1.0000,True,True
Oil spill Syria,With_RAG,7.0000,7.0000,True,5,7.2000,7.0000,9.0000,4.0866,0.5676,0.0000,10.0000,10.0000,1.0000,3.4000,3.9115,1.1504,0.8000,True,0.0000,0.0000,True,True
Oil spill Syria,Without_RAG,9.0000,5.0000,True,5,9.2000,9.0000,9.0000,0.8367,0.0909,8.0000,10.0000,2.0000,1.0000,3.0000,1.5811,0.5270,1.0000,True,0.0000,0.0000,True,True
Corsica 2021 Oil spill,With_RAG,8.0000,9.0000,True,5,7.8000,8.0000,8.0000,1.0954,0.1404,6.0000,9.0000,3.0000,0.0000,7.0000,2.2361,0.3194,1.0000,True,0.0000,0.0000,True,True
Corsica 2021 Oil spill,Without_RAG,6.0000,10.0000,True,5,8.2000,8.0000,8.0000,0.8367,0.1020,7.0000,9.0000,2.0000,1.0000,5.0000,1.7321,0.3464,1.0000,True,-2.0000,2.0000,False,False
Ships Larnaca,With_RAG,9.0000,4.0000,True,5,9.4000,9.0000,9.0000,0.5477,0.0583,9.0000,10.0000,1.0000,1.0000,2.0000,0.7071,0.3536,1.0000,True,0.0000,0.0000,True,True
Ships Larnaca,Without_RAG,9.0000,9.0000,True,5,8.8000,9.0000,9.0000,0.8367,0.0951,8.0000,10.0000,2.0000,1.0000,3.6000,1.6733,0.4648,1.0000,True,0.0000,0.0000,True,True
Gulf of lion turbidity,With_RAG,9.0000,6.0000,True,5,9.0000,9.0000,9.0000,0.7071,0.0786,8.0000,10.0000,2.0000,0.0000,2.6000,0.8944,0.3440,1.0000,True,0.0000,0.0000,True,True
Gulf of lion turbidity,Without_RAG,9.0000,6.0000,True,5,8.2000,8.0000,8.0000,1.3038,0.1590,7.0000,10.0000,3.0000,2.0000,4.0000,2.3452,0.5863,1.0000,True,1.0000,1.0000,True,True
Trieste plastics,With_RAG,9.0000,3.0000,True,5,7.2000,7.0000,7.0000,1.3038,0.1811,6.0000,9.0000,3.0000,2.0000,5.4000,2.3022,0.4263,1.0000,True,2.0000,2.0000,True,False
Trieste plastics,Without_RAG,7.0000,7.0000,True,5,4.2000,4.0000,3.0000,4.5497,1.0833,0.0000,9.0000,9.0000,9.0000,7.2000,3.8987,0.5415,0.4000,False,3.0000,3.0000,True,True
Air quality cyprus,With_RAG,9.0000,6.0000,True,5,9.4000,9.0000,9.0000,0.5477,0.0583,9.0000,10.0000,1.0000,1.0000,1.8000,0.4472,0.2485,1.0000,True,0.0000,0.0000,True,True
Air quality cyprus,Without_RAG,8.0000,7.0000,True,5,8.6000,9.0000,9.0000,0.5477,0.0637,8.0000,9.0000,1.0000,1.0000,3.6000,1.5166,0.4213,1.0000,True,-1.0000,1.0000,True,False
